GEOID10,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
400151013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,64,166
400151111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,197,761
400151213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,113,369
40017100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,234,471
40017102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,140,335
40017104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,157,99
40017106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,236,541
40017107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,83,197
40017112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,232,376
40017114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,119,268
40017116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,206,450
40017124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,305,706
40017126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,105,480
40017200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2505,544,1961
40017201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,215,909
40017204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,344,862
40017205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,53,319
40017206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,299,908
40017208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,292,701
40017210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,247,880
40017214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395,309,1086
40017215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,382,1108
40017216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,199,863
40017217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,208,594
40017218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,177,532
40017219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1214,312,902
40017220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2551,578,1973
40017221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613,403,1210
40017222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,313,780
40017223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055,304,751
40017224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,161,530
40017225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2248,567,1681
40017226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,111,639
40017227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1751,373,1378
