GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
120970101,0,0,0,0,0,0,0,0,0
120970102,0,0,0,0,0,0,2,1,1
120970103,0,0,0,0,0,0,0,0,0
120970104,0,0,0,0,0,0,0,0,0
120970105,0,0,0,0,0,0,19,7,12
120970106,0,0,0,0,0,0,6,2,4
120970107,0,0,0,0,0,0,0,0,0
120970108,0,0,0,0,0,0,92,70,22
120970109,0,0,0,0,0,0,1,1,0
120970110,0,0,0,0,0,0,2,1,1
120970111,0,0,0,0,0,0,2660,1374,1264
120970112,0,0,0,0,0,0,0,0,0
120970113,0,0,0,0,0,0,0,0,0
120970114,0,0,0,0,0,0,2290,1087,1187
120970115,0,0,0,0,0,0,1849,1079,757
120970116,0,0,0,0,0,0,5,3,2
120970117,0,0,0,0,0,0,1446,621,807
120970118,0,0,0,0,0,0,1558,660,877
120970119,0,0,0,0,0,0,3016,1452,1541
120970120,0,0,0,0,0,0,175,84,90
120970121,0,0,0,0,0,0,152,86,65
120970122,0,0,0,0,0,0,53,30,23
120970123,0,0,0,0,0,0,21,12,9
120970124,0,0,0,0,0,0,83,47,36
120970125,0,0,0,0,0,0,3,2,1
120970126,0,0,0,0,0,0,0,0,0
120970127,0,0,0,0,0,0,7,4,3
120970128,0,0,0,0,0,0,637,282,347
120970129,0,0,0,0,0,0,45,21,24
120970130,0,0,0,0,0,0,0,0,0
