GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
3500611,476,288,188,0,0,0
3500612,499,264,235,0,0,0
3500613,269,181,88,0,0,0
3500614,457,188,269,0,0,0
3500615,808,460,348,0,0,0
3500616,297,148,149,0,0,0
3500617,641,586,55,0,0,0
3500618,190,142,48,0,0,0
3500619,181,83,98,0,0,0
3500620,384,318,66,0,0,0
3500621,209,181,28,0,0,0
3500622,203,183,20,0,0,0
3500623,62,58,4,0,0,0
3500624,216,192,24,0,0,0
3500625,139,114,25,0,0,0
350071,1219,580,639,0,0,0
350072,310,182,128,0,0,0
350073,253,137,116,0,0,0
350074,300,165,135,0,0,0
350075,491,257,234,0,0,0
350077,234,123,111,0,0,0
3500710,106,34,72,0,0,0
3500711,142,88,54,0,0,0
3500712,197,127,70,0,0,0
3500713,112,58,54,0,0,0
3500714,199,115,84,0,0,0
3500715,336,150,186,0,0,0
3500716,629,381,248,0,0,0
3500717,289,199,90,0,0,0
3500718,103,75,28,0,0,0
3500719,132,113,19,0,0,0
3500720,319,244,75,0,0,0
3500721,461,280,181,0,0,0
3500722,463,182,281,0,0,0
350091,110,20,90,0,0,0
350092,147,16,131,0,0,0
350093,113,18,95,0,0,0
350094,422,64,358,0,0,0
350095,249,72,177,0,0,0
350096,207,181,26,0,0,0
350097,385,290,95,0,0,0
350098,464,284,180,0,0,0
350099,480,245,235,0,0,0
3500910,258,42,216,0,0,0
3500911,834,281,553,0,0,0
3500912,571,224,347,0,0,0
3500913,419,102,317,0,0,0
3500914,479,123,356,0,0,0
3500915,458,151,307,0,0,0
3500916,40,6,34,0,0,0
3500917,732,177,555,0,0,0
3500918,1139,275,864,0,0,0
3500919,958,208,750,0,0,0
3500920,418,181,237,0,0,0
3500921,475,184,291,0,0,0
3500922,193,95,98,0,0,0
3500923,451,97,354,0,0,0
3500924,763,230,533,0,0,0
3500925,210,163,47,0,0,0
3500926,173,92,81,0,0,0
3500927,106,52,54,0,0,0
3500928,168,88,80,0,0,0
3500929,197,86,111,0,0,0
3500930,286,65,221,0,0,0
3500931,253,93,160,0,0,0
3500932,312,70,242,0,0,0
3500933,442,119,323,0,0,0
3500934,100,10,90,0,0,0
3500935,418,77,341,0,0,0
3500936,175,24,151,0,0,0
3500937,664,165,499,0,0,0
350111,47,4,43,0,0,0
350112,271,49,222,0,0,0
350113,170,77,93,0,0,0
350114,76,56,20,0,0,0
350131,295,148,147,0,0,0
350132,294,138,156,0,0,0
350133,231,133,98,0,0,0
350134,575,428,147,0,0,0
350135,933,541,392,0,0,0
350136,339,137,202,0,0,0
350137,518,257,261,0,0,0
350138,566,457,109,0,0,0
350139,208,172,36,0,0,0
3501310,441,331,110,0,0,0
3501311,545,455,90,0,0,0
3501312,955,736,219,0,0,0
3501313,1331,1217,114,0,0,0
3501314,1112,532,580,0,0,0
3501315,1020,655,365,0,0,0
3501316,474,351,123,0,0,0
3501317,586,370,216,0,0,0
3501318,728,491,237,0,0,0
3501319,869,419,450,0,0,0
3501320,660,371,289,0,0,0
3501321,745,287,458,0,0,0
3501322,812,426,386,0,0,0
3501323,464,324,140,0,0,0
3501324,508,318,190,0,0,0
3501325,369,214,155,0,0,0
3501326,920,456,464,0,0,0
3501327,441,313,128,0,0,0
3501328,570,436,134,0,0,0
3501329,255,202,53,0,0,0
3501330,428,289,139,0,0,0
3501331,440,276,164,0,0,0
3501332,199,153,46,0,0,0
3501333,508,298,210,0,0,0
3501334,770,515,255,0,0,0
3501335,264,213,51,0,0,0
3501336,201,143,58,0,0,0
3501337,399,283,116,0,0,0
3501338,600,431,169,0,0,0
3501339,417,280,137,0,0,0
3501340,633,379,254,0,0,0
3501341,228,176,52,0,0,0
3501342,239,175,64,0,0,0
3501343,325,226,99,0,0,0
3501344,404,272,132,0,0,0
3501345,434,295,139,0,0,0
3501346,353,241,112,0,0,0
3501347,446,310,136,0,0,0
3501348,563,402,161,0,0,0
3501349,375,235,140,0,0,0
3501350,253,183,70,0,0,0
3501351,442,266,176,0,0,0
3501352,774,478,296,0,0,0
3501353,542,379,163,0,0,0
3501354,664,425,239,0,0,0
3501355,708,415,293,0,0,0
3501356,891,513,378,0,0,0
3501357,506,287,219,0,0,0
3501358,598,382,216,0,0,0
3501359,1470,704,766,0,0,0
3501360,149,84,65,0,0,0
3501361,834,504,330,0,0,0
3501362,831,432,399,0,0,0
3501363,748,355,393,0,0,0
3501364,248,127,121,0,0,0
3501365,1506,899,607,0,0,0
3501366,984,543,441,0,0,0
3501367,1251,696,555,0,0,0
3501368,395,232,163,0,0,0
3501369,517,310,207,0,0,0
3501370,358,222,136,0,0,0
3501371,559,281,278,0,0,0
3501372,316,158,158,0,0,0
3501373,947,504,443,0,0,0
3501374,372,170,202,0,0,0
3501375,669,338,331,0,0,0
3501376,255,139,116,0,0,0
3501377,421,233,188,0,0,0
3501378,1094,658,436,0,0,0
3501379,495,335,160,0,0,0
3501380,498,431,67,0,0,0
3501381,160,79,81,0,0,0
3501382,445,332,113,0,0,0
3501383,1172,629,543,0,0,0
3501384,571,276,295,0,0,0
3501385,563,280,283,0,0,0
3501386,1142,567,575,0,0,0
3501387,907,374,533,0,0,0
3501388,227,139,88,0,0,0
3501389,553,284,269,0,0,0
3501390,476,279,197,0,0,0
3501391,441,251,190,0,0,0
3501392,163,131,32,0,0,0
3501393,164,111,53,0,0,0
3501394,344,249,95,0,0,0
3501395,134,68,66,0,0,0
3501396,621,313,308,0,0,0
3501397,830,732,98,0,0,0
3501398,452,209,243,0,0,0
3501399,867,446,421,0,0,0
35013100,555,249,306,0,0,0
35013101,723,437,286,0,0,0
35013102,1558,754,804,0,0,0
35013103,604,341,263,0,0,0
35013104,420,235,185,0,0,0
35013105,1086,589,497,0,0,0
35013106,1133,581,552,0,0,0
35013107,619,280,339,0,0,0
35013108,754,383,371,0,0,0
35013109,975,517,458,0,0,0
35013110,795,397,398,0,0,0
35013111,78,40,38,0,0,0
35013112,723,326,397,0,0,0
35013113,622,287,335,0,0,0
35013114,740,345,395,0,0,0
35013115,353,118,235,0,0,0
350151,542,130,412,0,0,0
350152,735,472,263,0,0,0
350153,296,102,194,0,0,0
350154,918,175,743,0,0,0
350155,867,142,725,0,0,0
350156,683,164,519,0,0,0
350157,931,199,732,0,0,0
350158,471,64,407,0,0,0
350159,474,247,227,0,0,0
3501510,461,359,102,0,0,0
3501511,258,195,63,0,0,0
3501512,120,82,38,0,0,0
3501513,504,329,175,0,0,0
3501514,265,169,96,0,0,0
3501515,382,226,156,0,0,0
3501516,590,258,332,0,0,0
3501517,646,226,420,0,0,0
3501518,566,225,341,0,0,0
3501519,536,179,357,0,0,0
3501520,430,181,249,0,0,0
3501521,321,149,172,0,0,0
3501523,466,237,229,0,0,0
3501525,300,111,189,0,0,0
3501526,490,184,306,0,0,0
3501527,884,303,581,0,0,0
3501528,677,198,479,0,0,0
3501529,49,9,40,0,0,0
3501530,58,14,44,0,0,0
3501532,755,441,314,0,0,0
3501533,761,292,469,0,0,0
3501534,897,328,569,0,0,0
3501535,492,170,322,0,0,0
3501536,553,126,427,0,0,0
3501537,378,97,281,0,0,0
3501538,101,27,74,0,0,0
3501539,256,56,200,0,0,0
3501540,103,7,96,0,0,0
3501541,368,64,304,0,0,0
3501542,54,5,49,0,0,0
3501544,695,267,428,0,0,0
3501545,518,142,376,0,0,0
350171,319,96,223,0,0,0
350172,385,174,211,0,0,0
350173,32,17,15,0,0,0
350174,77,35,42,0,0,0
350175,611,276,335,0,0,0
350176,75,29,46,0,0,0
350177,296,179,117,0,0,0
350178,778,389,389,0,0,0
350179,165,111,54,0,0,0
3501710,158,88,70,0,0,0
3501711,886,367,519,0,0,0
3501712,1179,652,527,0,0,0
3501713,904,492,412,0,0,0
3501714,614,353,261,0,0,0
3501715,725,463,262,0,0,0
3501716,591,370,221,0,0,0
3501717,254,117,137,0,0,0
3501718,428,306,122,0,0,0
3501719,339,274,65,0,0,0
3501720,559,407,152,0,0,0
3501721,122,112,10,0,0,0
3501722,577,419,158,0,0,0
3501723,194,94,100,0,0,0
3501724,238,193,45,0,0,0
3501725,341,284,57,0,0,0
3501726,306,255,51,0,0,0
3501727,299,244,55,0,0,0
3501728,432,346,86,0,0,0
3501729,324,184,140,0,0,0
3501730,336,141,195,0,0,0
3501731,38,10,28,0,0,0
3501732,173,150,23,0,0,0
3501733,305,157,148,0,0,0
3501734,410,331,79,0,0,0
3501735,60,14,46,0,0,0
350191,600,418,182,0,0,0
350192,536,371,165,0,0,0
350193,429,294,135,0,0,0
350194,222,150,72,0,0,0
350195,390,324,66,0,0,0
350211,245,75,170,0,0,0
350212,373,185,188,0,0,0
350231,431,222,209,0,0,0
350232,304,235,69,0,0,0
350233,507,359,148,0,0,0
350234,184,33,151,0,0,0
350235,125,60,65,0,0,0
350236,378,84,294,0,0,0
350252,20,0,20,0,0,0
350253,507,119,388,0,0,0
3502510,586,125,461,0,0,0
3502511,201,97,104,0,0,0
3502512,232,82,150,0,0,0
3502513,663,181,482,0,0,0
3502514,427,146,281,0,0,0
3502515,877,149,728,0,0,0
3502516,229,106,123,0,0,0
3502517,265,84,181,0,0,0
3502518,228,40,188,0,0,0
3502520,937,130,807,0,0,0
3502521,209,30,179,0,0,0
3502522,825,134,691,0,0,0
3502523,758,134,624,0,0,0
3502524,520,96,424,0,0,0
3502525,442,86,356,0,0,0
3502526,678,116,562,0,0,0
3502527,508,75,433,0,0,0
3502528,349,87,262,0,0,0
3502529,494,120,374,0,0,0
3502530,342,96,246,0,0,0
3502531,489,213,276,0,0,0
3502532,474,99,375,0,0,0
3502533,389,96,293,0,0,0
3502534,186,79,107,0,0,0
3502535,202,101,101,0,0,0
3502536,394,141,253,0,0,0
3502541,697,188,509,0,0,0
3502542,467,128,339,0,0,0
3502543,444,133,311,0,0,0
3502544,394,125,269,0,0,0
3502551,314,134,180,0,0,0
3502552,574,336,238,0,0,0
3502553,434,283,151,0,0,0
3502554,220,126,94,0,0,0
3502555,179,103,76,0,0,0
3502561,383,197,186,0,0,0
3502562,235,40,195,0,0,0
3502571,403,92,311,0,0,0
3502572,545,107,438,0,0,0
3502573,446,100,346,0,0,0
3502574,288,54,234,0,0,0
350271,228,57,171,0,0,0
350272,252,91,161,0,0,0
350273,677,224,453,0,0,0
350274,335,109,226,0,0,0
350275,735,280,455,0,0,0
350276,602,229,373,0,0,0
350277,893,340,553,0,0,0
350278,692,263,429,0,0,0
350279,833,317,516,0,0,0
3502710,388,148,240,0,0,0
3502711,1218,463,755,0,0,0
3502712,348,115,233,0,0,0
3502713,465,249,216,0,0,0
3502714,455,150,305,0,0,0
3502715,261,86,175,0,0,0
3502716,108,36,72,0,0,0
3502717,240,87,153,0,0,0
3502718,18,6,12,0,0,0
3502719,113,41,72,0,0,0
3502720,191,62,129,0,0,0
3502721,481,183,298,0,0,0
350281,559,294,256,0,0,0
350282,348,183,159,0,0,0
350283,511,269,234,0,0,0
350284,657,346,300,0,0,0
350285,424,223,194,0,0,0
350286,992,522,454,0,0,0
350287,781,411,357,0,0,0
350288,650,342,297,0,0,0
350289,525,276,240,0,0,0
3502810,336,177,154,0,0,0
3502811,680,358,311,0,0,0
3502812,593,312,271,0,0,0
3502813,660,347,302,0,0,0
3502814,597,314,273,0,0,0
3502815,1423,748,653,0,0,0
3502816,921,485,421,0,0,0
3502817,412,217,188,0,0,0
350291,226,131,95,0,0,0
350292,507,220,287,0,0,0
350293,666,282,384,0,0,0
350294,436,310,126,0,0,0
350295,937,515,422,0,0,0
350296,631,346,285,0,0,0
350298,619,452,167,0,0,0
3502910,928,429,499,0,0,0
3502911,592,408,184,0,0,0
