GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov
410170003002,1196,463,699,0,0,0,0,0,0,0,0,0,0,0,0
410170003003,636,248,365,0,0,0,0,0,0,0,0,0,0,0,0
410170003004,918,355,538,0,0,0,0,0,0,0,0,0,0,0,0
410170004011,1408,642,745,0,0,0,0,0,0,0,0,0,0,0,0
410170004012,1075,523,536,0,0,0,0,0,0,0,0,0,0,0,0
410170004021,723,341,371,0,0,0,0,0,0,0,0,0,0,0,0
410170004022,845,378,463,0,0,0,0,0,0,0,0,0,0,0,0
410170004023,224,101,121,0,0,0,0,0,0,0,0,0,0,0,0
410170005001,868,404,453,0,0,0,0,0,0,0,0,0,0,0,0
410170005002,277,144,130,0,0,0,0,0,0,0,0,0,0,0,0
410170005003,561,267,285,0,0,0,0,0,0,0,0,0,0,0,0
410170005004,885,421,452,0,0,0,0,0,0,0,0,0,0,0,0
410170005005,1048,473,560,0,0,0,0,0,0,0,0,0,0,0,0
410170006001,1791,736,1027,0,0,0,0,0,0,0,0,0,0,0,0
410170006002,641,279,354,0,0,0,0,0,0,0,0,0,0,0,0
410170006003,872,397,463,0,0,0,0,0,0,0,0,0,0,0,0
410170006004,990,384,592,0,0,0,0,0,0,0,0,0,0,0,0
410170007001,720,260,448,0,0,0,0,0,0,0,0,0,0,0,0
410170007002,1403,528,846,0,0,0,0,0,0,0,0,0,0,0,0
410170007003,727,261,454,0,0,0,0,0,0,0,0,0,0,0,0
410170007004,814,294,506,0,0,0,0,0,0,0,0,0,0,0,0
410170008001,1650,651,965,0,0,0,0,0,0,0,0,0,0,0,0
410170008002,285,111,168,0,0,0,0,0,0,0,0,0,0,0,0
410170008003,317,127,183,0,0,0,0,0,0,0,0,0,0,0,0
410170008004,275,110,158,0,0,0,0,0,0,0,0,0,0,0,0
410170009001,720,300,399,0,0,0,0,0,0,0,0,0,0,0,0
410170009002,510,216,286,0,0,0,0,0,0,0,0,0,0,0,0
410170009003,477,201,267,0,0,0,0,0,0,0,0,0,0,0,0
410170009004,622,260,343,0,0,0,0,0,0,0,0,0,0,0,0
410170010011,945,392,534,0,0,0,0,0,0,0,0,0,0,0,0
410170010012,1427,564,841,0,0,0,0,0,0,0,0,0,0,0,0
410170010013,690,257,419,0,0,0,0,0,0,0,0,0,0,0,0
410170010014,1143,477,642,0,0,0,0,0,0,0,0,0,0,0,0
410170010015,827,345,465,0,0,0,0,0,0,0,0,0,0,0,0
410170010021,1318,556,736,0,0,0,0,0,0,0,0,0,0,0,0
410170011001,1815,958,835,0,0,0,0,0,0,0,0,0,0,0,0
410170011002,1042,462,560,0,0,0,0,0,0,0,0,0,0,0,0
410170011003,2436,1197,1199,0,0,0,0,0,0,0,0,0,0,0,0
410170012001,867,334,519,0,0,0,0,0,0,0,0,0,0,0,0
410170012002,484,189,287,0,0,0,0,0,0,0,0,0,0,0,0
410170012003,1205,529,656,0,0,0,0,0,0,0,0,0,0,0,0
410170012004,1327,611,697,0,0,0,0,0,0,0,0,0,0,0,0
410170013001,1974,1375,570,0,0,0,0,0,0,0,0,0,0,0,0
410170013002,2338,1411,892,0,0,0,0,0,0,0,0,0,0,0,0
410170013003,879,576,291,0,0,0,0,0,0,0,0,0,0,0,0
410170013004,597,443,143,0,0,0,0,0,0,0,0,0,0,0,0
410170013005,488,342,138,0,0,0,0,0,0,0,0,0,0,0,0
410170014001,2393,1529,829,0,0,0,0,0,0,0,0,0,0,0,0
410170014002,502,363,129,0,0,0,0,0,0,0,0,0,0,0,0
410170014003,375,281,87,0,0,0,0,0,0,0,0,0,0,0,0
410170015001,357,227,123,0,0,0,0,0,0,0,0,0,0,0,0
410170015002,719,396,311,0,0,0,0,0,0,0,0,0,0,0,0
410170015003,361,228,126,0,0,0,0,0,0,0,0,0,0,0,0
410170015004,323,239,74,0,0,0,0,0,0,0,0,0,0,0,0
410170015005,798,580,197,0,0,0,0,0,0,0,0,0,0,0,0
410170016001,445,302,135,0,0,0,0,0,0,0,0,0,0,0,0
