GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
470311334,0,0,0,914,334,561
470311336,0,0,0,1014,340,653
470311338,0,0,0,866,270,568
470311340,0,0,0,877,314,541
470311342,0,0,0,502,197,292
470311344,0,0,0,416,155,252
470311346,0,0,0,357,124,223
470311348,0,0,0,998,326,653
470311350,0,0,0,1010,312,683
470311352,0,0,0,959,343,602
470311354,0,0,0,711,175,517
470311356,0,0,0,1310,405,870
470311358,0,0,0,534,276,244
470311360,0,0,0,1493,409,1067
470311362,0,0,0,991,322,659
470311364,0,0,0,1270,364,891
470311368,0,0,0,526,162,349
470311372,0,0,0,616,339,268
470311376,0,0,0,508,235,265
470331384,0,0,0,489,91,391
470331388,0,0,0,365,200,161
470331392,0,0,0,507,120,379
470331396,0,0,0,599,194,397
470331400,0,0,0,504,124,373
470331404,0,0,0,441,126,310
470331408,0,0,0,535,120,406
470331412,0,0,0,491,356,132
470331416,0,0,0,467,131,329
470331420,0,0,0,489,202,278
470331424,0,0,0,594,140,448
470331428,0,0,0,556,163,390
470351436,0,0,0,2430,767,1624
470351444,0,0,0,1896,584,1280
470351448,0,0,0,1163,347,797
470351452,0,0,0,375,131,242
470351456,0,0,0,713,208,496
470351460,0,0,0,585,173,397
470351464,0,0,0,832,227,593
470351470,0,0,0,1137,331,785
470351474,0,0,0,867,265,592
470351482,0,0,0,738,216,509
470351486,0,0,0,683,182,496
470351490,0,0,0,1796,557,1215
470351494,0,0,0,263,61,196
470351498,0,0,0,476,152,310
470351502,0,0,0,664,208,435
470351504,0,0,0,370,100,259
470351512,0,0,0,410,77,331
470351516,0,0,0,1085,360,706
470351520,0,0,0,901,290,597
470351524,0,0,0,1345,381,940
470351528,0,0,0,1017,457,542
470351540,0,0,0,5459,1654,3755
470351544,0,0,0,507,161,339
470371556,0,0,0,893,397,488
470371560,0,0,0,446,111,330
470371572,0,0,0,2102,917,1142
470371576,0,0,0,1808,777,997
470371577,0,0,0,971,382,573
470371581,0,0,0,4084,1509,2545
470371584,0,0,0,708,210,483
470371585,0,0,0,3597,1501,2051
470371586,0,0,0,3299,1280,1982
470371588,0,0,0,799,230,565
470371589,0,0,0,526,210,308
470371592,0,0,0,2243,1163,1057
470371596,0,0,0,697,310,377
470371600,0,0,0,2144,1133,989
470371602,0,0,0,1059,621,430
470371604,0,0,0,1356,717,624
470371608,0,0,0,281,69,211
