GEOID10,Tot_2017_gov,Dem_2017_gov,Rep_2017_gov,Tot_2017_ltg,Dem_2017_ltg,Rep_2017_ltg,Tot_2017_ag,Dem_2017_ag,Rep_2017_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
51085602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,554,1404
51085603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582,689,883
51085604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,349,896
51085701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,594,1196
51085702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3030,1154,1860
51085703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,585,1209
51085704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1552,486,1049
51087101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2802,1300,1482
51087102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513,1750,740
51087103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2587,1089,1481
51087104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682,1258,407
51087105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,637,609
51087106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321,1275,1026
51087107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,459,455
51087108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,244,484
51087109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771,399,361
51087110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963,1018,923
51087111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2216,1016,1182
51087112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,408,482
51087113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3159,1340,1799
51087114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,475,524
51087115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339,659,665
51087116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2914,1318,1576
51087201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,1020,36
51087202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2671,2497,166
51087203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1715,1084,611
51087204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,280,235
51087205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,245,500
51087206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033,2000,24
51087207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922,1387,520
51087208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864,1796,66
51087209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,900,234
51087210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,849,198
51087211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641,1581,57
51087212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,404,206
51087213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,964,217
51087214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,743,440
51087215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1945,65
51087216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,433,390
51087217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,225,204
51087218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,57,73
51087219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,255,30
51087220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2573,2417,150
51087221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,182,131
51087222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,1119,280
51087223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2461,1368,1073
51087301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469,630,832
51087302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,767,1231
51087303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,914,871
51087304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864,874,981
51087305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,651,871
51087306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,380,458
51087307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522,923,1591
51087308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,622,829
51087309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251,506,734
51087310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666,692,970
51087311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2459,890,1555
51087312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,880,991
51087313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535,767,754
51087314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220,1363,1829
51087315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617,780,816
51087316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2865,1872,968
51087317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2030,711,1307
51087318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338,955,1374
51087401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,1002,1084
51087402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,449,988
51087403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,575,768
51087404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2675,997,1659
51087405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,901,1081
51087406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1891,751,1121
51087407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2096,1064,1014
51087408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,867,1133
51087409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339,359,974
51087410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,914,851
51087411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2307,1083,1202
51087412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474,1028,1417
51087413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1493,651,834
51087414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,390,504
51087415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2907,884,2010
51087416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,853,1147
51087417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1340,678,652
51087501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,502,1017
51087502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956,764,185
51087503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843,764,1065
51087504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192,787,404
51087505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1667,722,937
51087506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544,1156,383
51087507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,174,382
51087508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1574,1267,304
51087509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1683,1225,449
51087510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283,1073,207
51087511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,1015,461
51087512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1702,309
51087513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,515,385
51087514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2437,2187,244
51087515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,523,1006
51087516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1332,860,460
51087517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,314,464
51087518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584,690,881
51087519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3414,3064,335
51089101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606,363,235
51089102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1114,382,711
51089103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823,624,1157
51089201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,287,415
51089202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,583,610
51089203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923,761,159
51089204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,501,775
51089302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,606,430
51089303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,693,590
51089304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647,919,719
51089305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,437,413
51089401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,302,540
51089402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,386,543
51089404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,630,862
51089405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,378,437
51089501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,380,305
51089502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997,348,641
51089503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1481,395,1066
51089504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,190,345
51089505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,213,262
51089601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,460,742
51089602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,375,348
51089603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392,541,825
51089604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,364,628
510911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,210,328
510913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,62,54
510915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,130,162
510917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,65,121
510918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,98,212
5109110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,25,53
51093101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4428,1721,2678
51093201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2423,889,1516
51093202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2190,803,1371
51093301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,1045,829
51093302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1242,757
51093401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,551,684
51093402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643,658,971
51093403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,250,445
51093501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,283,610
51093502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,313,175
51093503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,290,358
51093504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,413,668
51093505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,115,196
51095103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2765,1100,1647
51095201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3197,1307,1865
51095202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2984,1612,1332
51095301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677,1114,1556
51095302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,642,453
51095303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3440,1332,2093
51095304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2815,1558,1236
51095401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3386,1444,1911
51095402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2968,1229,1724
51095403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2283,898,1371
51095502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1688,540,1140
510951011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2394,1303,1063
510951012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510951021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,396,654
510951022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,752,1243
510955011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937,526,404
510955012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,949,731
510955031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,244,183
510955032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,406,306
51097101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,590,228
51097201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,329,450
51097301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,360,362
51097401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,344,283
51097501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,295,440
51099101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1724,706,1006
51099102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,456,503
51099201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3558,1359,2173
51099301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,939,995
51099401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2247,1013,1211
51101101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,596,927
51101201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,657,243,406
51101202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,595,547
51101301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663,544,1102
51101401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609,559,1035
51101501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,807,949
51103101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,630,801
51103201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1165,736,426
51103301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,337,635
51103302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,167,343
51103401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407,892,508
51103501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418,473,934
51105101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,168,353
51105102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,152,331
51105103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,291,564
51105201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,76,90
51105202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,201,505
51105203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,170,356
51105204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,222,417
51105301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,255,568
51105302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449,158,284
51105303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,239,509
51105401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,166,251
51105402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,114,164
51105403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,109,240
51105404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,258,451
51105501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,155,85
51105502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,105,96
51105503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,219,387
51105504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,47,85
51105505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,114,89
51107101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110,1033,1070
51107102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3170,1609,1537
51107105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2758,1442,1301
51107106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2220,1229,980
51107107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,621,591
51107108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2645,1417,1216
51107109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3112,1727,1356
51107110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,497,153
51107111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1164,771
51107112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3264,1767,1477
51107113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033,1125,897
51107114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3055,1555,1481
51107115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687,903,776
51107116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1392,832,551
51107117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2044,1222,809
51107207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1422,699,709
