GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen
300290017004,495,149,325,0,0,0,0,0,0,0,0,0,0,0,0
300290017005,786,209,518,0,0,0,0,0,0,0,0,0,0,0,0
300290017006,760,268,452,0,0,0,0,0,0,0,0,0,0,0,0
300310001011,872,294,554,0,0,0,0,0,0,0,0,0,0,0,0
300310001012,1218,496,682,0,0,0,0,0,0,0,0,0,0,0,0
300310001013,677,276,382,0,0,0,0,0,0,0,0,0,0,0,0
300310001021,675,198,452,0,0,0,0,0,0,0,0,0,0,0,0
300310001022,492,197,281,0,0,0,0,0,0,0,0,0,0,0,0
300310001031,1281,507,729,0,0,0,0,0,0,0,0,0,0,0,0
300310001032,948,398,516,0,0,0,0,0,0,0,0,0,0,0,0
300310001033,911,342,541,0,0,0,0,0,0,0,0,0,0,0,0
300310002001,464,143,307,0,0,0,0,0,0,0,0,0,0,0,0
300310002002,2326,824,1429,0,0,0,0,0,0,0,0,0,0,0,0
300310002003,1149,402,716,0,0,0,0,0,0,0,0,0,0,0,0
300310003001,653,229,400,0,0,0,0,0,0,0,0,0,0,0,0
300310003002,379,159,207,0,0,0,0,0,0,0,0,0,0,0,0
300310003003,534,221,295,0,0,0,0,0,0,0,0,0,0,0,0
300310004001,1036,320,674,0,0,0,0,0,0,0,0,0,0,0,0
300310004002,1128,206,900,0,0,0,0,0,0,0,0,0,0,0,0
300310004003,439,98,329,0,0,0,0,0,0,0,0,0,0,0,0
300310005011,709,373,317,0,0,0,0,0,0,0,0,0,0,0,0
300310005012,625,318,293,0,0,0,0,0,0,0,0,0,0,0,0
300310005021,576,267,295,0,0,0,0,0,0,0,0,0,0,0,0
300310005022,481,210,259,0,0,0,0,0,0,0,0,0,0,0,0
300310005023,954,458,473,0,0,0,0,0,0,0,0,0,0,0,0
300310005024,931,468,446,0,0,0,0,0,0,0,0,0,0,0,0
300310005031,2799,1454,1272,0,0,0,0,0,0,0,0,0,0,0,0
300310005032,1576,721,815,0,0,0,0,0,0,0,0,0,0,0,0
300310005041,934,472,437,0,0,0,0,0,0,0,0,0,0,0,0
300310005042,369,197,162,0,0,0,0,0,0,0,0,0,0,0,0
300310006001,581,427,135,0,0,0,0,0,0,0,0,0,0,0,0
300310006002,720,406,286,0,0,0,0,0,0,0,0,0,0,0,0
300310007011,545,432,99,0,0,0,0,0,0,0,0,0,0,0,0
300310007012,532,376,133,0,0,0,0,0,0,0,0,0,0,0,0
300310007013,323,187,127,0,0,0,0,0,0,0,0,0,0,0,0
300310007014,574,432,123,0,0,0,0,0,0,0,0,0,0,0,0
300310007021,1795,990,745,0,0,0,0,0,0,0,0,0,0,0,0
300310007022,1312,705,570,0,0,0,0,0,0,0,0,0,0,0,0
300310008001,650,504,128,0,0,0,0,0,0,0,0,0,0,0,0
300310008002,419,328,81,0,0,0,0,0,0,0,0,0,0,0,0
300310008003,460,361,87,0,0,0,0,0,0,0,0,0,0,0,0
300310009001,694,501,171,0,0,0,0,0,0,0,0,0,0,0,0
300310009002,705,489,190,0,0,0,0,0,0,0,0,0,0,0,0
300310009003,581,348,213,0,0,0,0,0,0,0,0,0,0,0,0
300310010011,1002,564,419,0,0,0,0,0,0,0,0,0,0,0,0
300310010012,1084,587,474,0,0,0,0,0,0,0,0,0,0,0,0
300310010021,865,644,196,0,0,0,0,0,0,0,0,0,0,0,0
300310010022,497,310,178,0,0,0,0,0,0,0,0,0,0,0,0
300310010023,545,276,260,0,0,0,0,0,0,0,0,0,0,0,0
300310010024,980,649,309,0,0,0,0,0,0,0,0,0,0,0,0
300310011011,268,165,92,0,0,0,0,0,0,0,0,0,0,0,0
300310011012,288,187,91,0,0,0,0,0,0,0,0,0,0,0,0
300310011013,1213,788,381,0,0,0,0,0,0,0,0,0,0,0,0
300310011021,778,439,321,0,0,0,0,0,0,0,0,0,0,0,0
300310011022,698,534,147,0,0,0,0,0,0,0,0,0,0,0,0
300310012001,761,342,400,0,0,0,0,0,0,0,0,0,0,0,0
300310012002,456,181,265,0,0,0,0,0,0,0,0,0,0,0,0
300310012003,1204,468,696,0,0,0,0,0,0,0,0,0,0,0,0
300310012004,437,170,255,0,0,0,0,0,0,0,0,0,0,0,0
300310015001,583,295,277,0,0,0,0,0,0,0,0,0,0,0,0
300310015002,249,126,118,0,0,0,0,0,0,0,0,0,0,0,0
300310016001,348,200,140,0,0,0,0,0,0,0,0,0,0,0,0
300310016002,872,546,308,0,0,0,0,0,0,0,0,0,0,0,0
300330001001,727,110,598,0,0,0,0,0,0,0,0,0,0,0,0
300359402001,723,655,61,0,0,0,0,0,0,0,0,0,0,0,0
300359402002,351,319,26,0,0,0,0,0,0,0,0,0,0,0,0
300359402003,319,289,26,0,0,0,0,0,0,0,0,0,0,0,0
300359402004,336,314,18,0,0,0,0,0,0,0,0,0,0,0,0
300359404001,305,233,65,0,0,0,0,0,0,0,0,0,0,0,0
300359404002,305,263,35,0,0,0,0,0,0,0,0,0,0,0,0
300359404003,321,212,101,0,0,0,0,0,0,0,0,0,0,0,0
300359404004,299,253,41,0,0,0,0,0,0,0,0,0,0,0,0
300359404005,316,194,117,0,0,0,0,0,0,0,0,0,0,0,0
300359760001,269,97,164,0,0,0,0,0,0,0,0,0,0,0,0
300359760002,228,106,118,0,0,0,0,0,0,0,0,0,0,0,0
300359760003,319,130,181,0,0,0,0,0,0,0,0,0,0,0,0
300359760004,419,181,225,0,0,0,0,0,0,0,0,0,0,0,0
300359760005,447,167,270,0,0,0,0,0,0,0,0,0,0,0,0
300359800001,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0
300370001001,491,124,343,0,0,0,0,0,0,0,0,0,0,0,0
300399617001,540,159,348,0,0,0,0,0,0,0,0,0,0,0,0
300399617002,669,240,389,0,0,0,0,0,0,0,0,0,0,0,0
