GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
440030211001,849,536,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030211002,634,407,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030211003,666,409,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030211004,388,239,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030212001,526,331,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030212002,616,399,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030212003,558,366,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030213001,603,364,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030213002,901,537,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030213003,525,326,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030213004,883,525,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030214011,1073,602,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030214012,393,236,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030214013,577,339,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030214021,857,514,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030214022,394,242,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030214023,614,374,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030215011,318,203,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030215012,498,313,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030215013,385,232,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030215014,262,166,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030215021,527,312,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030215022,563,332,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030215023,629,384,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030215024,489,304,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030216001,500,293,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030216002,457,208,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030217001,434,260,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030217002,341,214,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030217003,409,256,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030217004,377,239,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030217005,485,309,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030218001,1239,724,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030218002,751,451,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030219011,336,207,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030219012,525,312,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030219013,295,173,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030219014,629,362,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030219021,448,260,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030219022,444,255,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030219023,350,201,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030219031,1085,629,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030219032,436,250,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030219033,881,515,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030220001,969,550,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440030220002,114,72,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
