GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag
19153153090,744,445,289,0,0,0,0,0,0,0,0,0,0,0,0
19153153091,805,507,280,0,0,0,0,0,0,0,0,0,0,0,0
19153153092,1577,982,571,0,0,0,0,0,0,0,0,0,0,0,0
19153153093,830,533,289,0,0,0,0,0,0,0,0,0,0,0,0
19153153094,1027,599,403,0,0,0,0,0,0,0,0,0,0,0,0
19153153095,964,644,298,0,0,0,0,0,0,0,0,0,0,0,0
19153153096,1074,659,401,0,0,0,0,0,0,0,0,0,0,0,0
19153153097,1202,791,383,0,0,0,0,0,0,0,0,0,0,0,0
19153153098,881,555,304,0,0,0,0,0,0,0,0,0,0,0,0
19153153099,1089,725,343,0,0,0,0,0,0,0,0,0,0,0,0
19153153100,964,684,262,0,0,0,0,0,0,0,0,0,0,0,0
19153153101,698,498,183,0,0,0,0,0,0,0,0,0,0,0,0
19153153102,582,395,162,0,0,0,0,0,0,0,0,0,0,0,0
19153153103,701,461,224,0,0,0,0,0,0,0,0,0,0,0,0
19153153104,858,584,257,0,0,0,0,0,0,0,0,0,0,0,0
19153153105,480,318,144,0,0,0,0,0,0,0,0,0,0,0,0
19153153106,951,660,269,0,0,0,0,0,0,0,0,0,0,0,0
19153153107,814,481,310,0,0,0,0,0,0,0,0,0,0,0,0
19153153108,1023,632,376,0,0,0,0,0,0,0,0,0,0,0,0
19153153109,2316,1327,945,0,0,0,0,0,0,0,0,0,0,0,0
19153153110,816,509,289,0,0,0,0,0,0,0,0,0,0,0,0
19153153111,926,534,367,0,0,0,0,0,0,0,0,0,0,0,0
19153153112,837,494,327,0,0,0,0,0,0,0,0,0,0,0,0
19153153113,723,456,246,0,0,0,0,0,0,0,0,0,0,0,0
19153153114,355,225,119,0,0,0,0,0,0,0,0,0,0,0,0
19153153115,797,485,300,0,0,0,0,0,0,0,0,0,0,0,0
19153153116,891,749,138,0,0,0,0,0,0,0,0,0,0,0,0
19153153117,432,351,70,0,0,0,0,0,0,0,0,0,0,0,0
19153153118,396,290,96,0,0,0,0,0,0,0,0,0,0,0,0
19153153119,455,368,81,0,0,0,0,0,0,0,0,0,0,0,0
19153153120,628,510,105,0,0,0,0,0,0,0,0,0,0,0,0
19153153121,447,372,71,0,0,0,0,0,0,0,0,0,0,0,0
19153153122,445,407,34,0,0,0,0,0,0,0,0,0,0,0,0
19153153123,536,481,49,0,0,0,0,0,0,0,0,0,0,0,0
19153153124,606,480,122,0,0,0,0,0,0,0,0,0,0,0,0
19153153125,965,680,273,0,0,0,0,0,0,0,0,0,0,0,0
19153153126,1400,915,464,0,0,0,0,0,0,0,0,0,0,0,0
19153153127,1047,744,272,0,0,0,0,0,0,0,0,0,0,0,0
19153153128,1234,887,313,0,0,0,0,0,0,0,0,0,0,0,0
19153153129,1240,864,350,0,0,0,0,0,0,0,0,0,0,0,0
19153153130,1136,712,393,0,0,0,0,0,0,0,0,0,0,0,0
19153153131,1027,608,396,0,0,0,0,0,0,0,0,0,0,0,0
19153153132,536,349,181,0,0,0,0,0,0,0,0,0,0,0,0
19153153133,775,592,173,0,0,0,0,0,0,0,0,0,0,0,0
19153153134,1084,796,263,0,0,0,0,0,0,0,0,0,0,0,0
19153153135,798,637,145,0,0,0,0,0,0,0,0,0,0,0,0
19153153136,490,381,97,0,0,0,0,0,0,0,0,0,0,0,0
19153153137,640,530,105,0,0,0,0,0,0,0,0,0,0,0,0
19153153138,591,429,150,0,0,0,0,0,0,0,0,0,0,0,0
19153153139,1069,691,357,0,0,0,0,0,0,0,0,0,0,0,0
19153153140,492,359,123,0,0,0,0,0,0,0,0,0,0,0,0
19153153141,687,511,156,0,0,0,0,0,0,0,0,0,0,0,0
19153153142,148,109,37,0,0,0,0,0,0,0,0,0,0,0,0
19153153143,775,641,126,0,0,0,0,0,0,0,0,0,0,0,0
19153153144,1394,1075,296,0,0,0,0,0,0,0,0,0,0,0,0
19153153145,578,455,115,0,0,0,0,0,0,0,0,0,0,0,0
19153153146,606,502,93,0,0,0,0,0,0,0,0,0,0,0,0
19153153147,1367,1012,329,0,0,0,0,0,0,0,0,0,0,0,0
19153153148,1265,951,282,0,0,0,0,0,0,0,0,0,0,0,0
19153153149,1176,847,301,0,0,0,0,0,0,0,0,0,0,0,0
19153153150,1268,890,366,0,0,0,0,0,0,0,0,0,0,0,0
19153153151,1050,672,367,0,0,0,0,0,0,0,0,0,0,0,0
19153153152,324,216,104,0,0,0,0,0,0,0,0,0,0,0,0
19153153153,1039,656,372,0,0,0,0,0,0,0,0,0,0,0,0
19153153154,1260,794,450,0,0,0,0,0,0,0,0,0,0,0,0
19153153155,1541,990,527,0,0,0,0,0,0,0,0,0,0,0,0
19153153156,1152,700,430,0,0,0,0,0,0,0,0,0,0,0,0
19153153157,732,531,181,0,0,0,0,0,0,0,0,0,0,0,0
19153153158,550,358,183,0,0,0,0,0,0,0,0,0,0,0,0
19153153159,948,663,270,0,0,0,0,0,0,0,0,0,0,0,0
19153153160,954,647,283,0,0,0,0,0,0,0,0,0,0,0,0
19153153161,572,362,205,0,0,0,0,0,0,0,0,0,0,0,0
19153153162,546,362,168,0,0,0,0,0,0,0,0,0,0,0,0
19153153163,669,429,229,0,0,0,0,0,0,0,0,0,0,0,0
19153153164,843,550,278,0,0,0,0,0,0,0,0,0,0,0,0
19153153165,675,444,223,0,0,0,0,0,0,0,0,0,0,0,0
19153153166,959,559,388,0,0,0,0,0,0,0,0,0,0,0,0
19153153167,1192,730,434,0,0,0,0,0,0,0,0,0,0,0,0
19153153168,521,332,175,0,0,0,0,0,0,0,0,0,0,0,0
19153153169,1280,812,448,0,0,0,0,0,0,0,0,0,0,0,0
19153153170,1267,814,432,0,0,0,0,0,0,0,0,0,0,0,0
19153153171,1251,854,377,0,0,0,0,0,0,0,0,0,0,0,0
19153153172,1164,756,379,0,0,0,0,0,0,0,0,0,0,0,0
19153153173,1032,599,411,0,0,0,0,0,0,0,0,0,0,0,0
19153153174,875,534,317,0,0,0,0,0,0,0,0,0,0,0,0
19153153175,777,473,281,0,0,0,0,0,0,0,0,0,0,0,0
19153153176,1092,703,376,0,0,0,0,0,0,0,0,0,0,0,0
19153153177,1470,818,641,0,0,0,0,0,0,0,0,0,0,0,0
19153153178,701,429,261,0,0,0,0,0,0,0,0,0,0,0,0
19153153179,1089,686,377,0,0,0,0,0,0,0,0,0,0,0,0
19153153180,1458,780,654,0,0,0,0,0,0,0,0,0,0,0,0
19153153181,559,382,163,0,0,0,0,0,0,0,0,0,0,0,0
19153153182,1470,866,575,0,0,0,0,0,0,0,0,0,0,0,0
19155155001,373,155,210,0,0,0,0,0,0,0,0,0,0,0,0
19155155002,379,157,213,0,0,0,0,0,0,0,0,0,0,0,0
19155155003,196,91,103,0,0,0,0,0,0,0,0,0,0,0,0
19155155004,523,205,311,0,0,0,0,0,0,0,0,0,0,0,0
19155155005,437,203,230,0,0,0,0,0,0,0,0,0,0,0,0
19155155006,113,45,67,0,0,0,0,0,0,0,0,0,0,0,0
19155155007,16,6,10,0,0,0,0,0,0,0,0,0,0,0,0
19155155008,125,60,63,0,0,0,0,0,0,0,0,0,0,0,0
19155155009,846,406,426,0,0,0,0,0,0,0,0,0,0,0,0
19155155010,94,47,46,0,0,0,0,0,0,0,0,0,0,0,0
19155155011,430,214,211,0,0,0,0,0,0,0,0,0,0,0,0
19155155012,77,26,50,0,0,0,0,0,0,0,0,0,0,0,0
19155155013,241,106,129,0,0,0,0,0,0,0,0,0,0,0,0
19155155014,107,37,69,0,0,0,0,0,0,0,0,0,0,0,0
19155155015,154,49,103,0,0,0,0,0,0,0,0,0,0,0,0
19155155016,771,329,428,0,0,0,0,0,0,0,0,0,0,0,0
19155155017,726,310,403,0,0,0,0,0,0,0,0,0,0,0,0
19155155018,722,326,382,0,0,0,0,0,0,0,0,0,0,0,0
19155155019,557,247,304,0,0,0,0,0,0,0,0,0,0,0,0
19155155020,1828,699,1104,0,0,0,0,0,0,0,0,0,0,0,0
19155155021,507,149,353,0,0,0,0,0,0,0,0,0,0,0,0
19155155022,85,25,59,0,0,0,0,0,0,0,0,0,0,0,0
19155155023,231,73,156,0,0,0,0,0,0,0,0,0,0,0,0
19155155024,67,23,43,0,0,0,0,0,0,0,0,0,0,0,0
19155155025,102,34,66,0,0,0,0,0,0,0,0,0,0,0,0
19155155026,716,247,463,0,0,0,0,0,0,0,0,0,0,0,0
19155155027,97,33,63,0,0,0,0,0,0,0,0,0,0,0,0
19155155028,117,39,76,0,0,0,0,0,0,0,0,0,0,0,0
19155155029,110,35,75,0,0,0,0,0,0,0,0,0,0,0,0
19155155030,504,201,297,0,0,0,0,0,0,0,0,0,0,0,0
